,angry person,confused person,fear person,gloomy person,happy person,sad person,surprised person,tired person,tranquil person
0,0.jpg,0.jpg,0.jpg,0.jpg,0.jpg,0.jpg,0.jpg,0.jpg,0.jpg
1,1.jpg,1.jpg,1.jpg,1.jpg,1.jpg,1.jpg,1.jpg,1.jpg,1.jpg
2,10.jpg,10.jpg,10.jpg,10.jpg,10.jpg,10.jpg,10.jpg,10.jpg,10.jpg
3,11.jpg,11.jpg,11.jpg,11.jpg,11.jpg,11.jpg,11.jpg,11.jpg,11.jpg
4,12.jpg,12.jpg,12.jpg,12.jpg,12.jpg,12.jpg,12.jpg,12.jpg,12.jpg
5,13.jpg,13.jpg,13.jpg,13.jpg,13.jpg,13.jpg,13.jpg,13.jpg,13.jpg
6,14.jpg,14.jpg,14.jpg,14.jpg,14.jpg,14.jpg,14.jpg,14.jpg,14.jpg
7,15.jpg,15.jpg,15.jpg,15.jpg,15.jpg,15.jpg,15.jpg,15.jpg,15.jpg
8,16.jpg,16.jpg,16.jpg,16.jpg,16.jpg,16.jpg,16.jpg,16.jpg,16.jpg
9,17.jpg,17.jpg,17.jpg,17.jpg,17.jpg,17.jpg,17.jpg,17.jpg,17.jpg
10,18.jpg,18.jpg,18.jpg,18.jpg,18.jpg,18.jpg,18.jpg,18.jpg,18.jpg
11,19.jpg,19.jpg,19.jpg,19.jpg,19.jpg,19.jpg,19.jpg,19.jpg,19.jpg
12,2.jpg,2.jpg,2.jpg,2.jpg,2.jpg,2.jpg,2.jpg,2.jpg,2.jpg
13,20.jpg,20.jpg,20.jpg,20.jpg,20.jpg,20.jpg,20.jpg,20.jpg,20.jpg
14,21.jpg,21.jpg,21.jpg,21.jpg,21.jpg,21.jpg,21.jpg,21.jpg,21.jpg
15,22.jpg,22.jpg,22.jpg,22.jpg,22.jpg,22.jpg,22.jpg,22.jpg,22.jpg
16,23.jpg,23.jpg,23.jpg,23.jpg,23.jpg,23.jpg,23.jpg,23.jpg,23.jpg
17,24.jpg,24.jpg,24.jpg,24.jpg,24.jpg,24.jpg,24.jpg,24.jpg,24.jpg
18,25.jpg,25.jpg,25.jpg,25.jpg,25.jpg,25.jpg,25.jpg,25.jpg,25.jpg
